text,intent,entities
"I want to buy shoes","product_search","[]"
"Show me eco-friendly products","sustainability","[]"
"I'm feeling tired","mood_tired","[]"
"Track my order","track_order","[]"
"I'm stressed out","mood_stressed","[]"
"Show me clothing","product_search","[]"
"What's the most sustainable option","sustainability","[]"
"I feel excited","mood_excited","[]"
"Where is my package","track_order","[]"
"I'm feeling lazy today","mood_lazy","[]"
"I want running shoes","product_search","[{\"entity\":\"product\",\"value\":\"running shoes\"}]"
"Show products under 100 dollars","price_filter","[{\"entity\":\"price\",\"value\":\"100\"}]"
"I need help","help","[]"
"Hello","greet","[]"
"Looking for adventurous gear","mood_adventurous","[]"
